DATE,YEAR,MONTH,LOP,2022 (TEUS),2023 (TEUS),2024 (TEUS),2025 (TEUS),2026 (TEUS),%
2024-01-01,2024,1,CMA,12085,14158.0,10480.0,,,0.1715
2024-01-02,2024,1,EMC,12494,13601.0,10651.0,,,0.0886
2024-01-03,2024,1,MSC,11120,10754.0,10412.0,,,-0.0329
2024-01-04,2024,1,ONE,12015,10592.0,12560.0,,,-0.1184
2024-01-05,2024,1,MSK,14065,9899.0,14137.0,,,-0.2962
2024-01-06,2024,1,WHL,6221,7028.0,6119.0,,,0.1297
2024-01-07,2024,1,COSCO,10768,6956.0,8280.0,,,-0.354
2024-01-08,2024,1,OOCL,5100,5333.0,5378.0,,,0.0457
2024-01-09,2024,1,RCL,2297,3394.0,3875.0,,,4.4919
2024-01-10,2024,1,SITC,2275,3267.0,4316.0,,,-0.2173
2024-01-11,2024,1,HPL,3316,0.0,0.0,,,0.3761
2024-01-12,2024,1,YML,1186,2614.0,2133.0,,,0.149
2024-01-13,2024,1,KMTC,2262,1675.0,3186.0,,,-0.4946
2024-01-14,2024,1,GSL,2157,1533.0,1461.0,,,0.2926
2024-01-15,2024,1,PIL,2297,984.0,1306.0,,,-0.565
2024-01-16,2024,1,SSL,2275,840.0,1258.0,,,-0.6106
2024-01-17,2024,1,HMM,1559,428.0,658.0,,,-0.7255
2024-01-18,2024,1,ANL,-,377.0,0.0,,,0
2024-01-19,2024,1,XCL,1542,199.0,282.0,,,-0.8709
2024-01-20,2024,1,KRL,-,0.0,0.0,,,0
2024-01-21,2024,1,KSL,-,0.0,0.0,,,0
2024-01-22,2024,1,MELL,255,0.0,0.0,,,-1
2024-01-23,2024,1,OTHER,2347,2819.0,2500.0,,,0.3805
2024-02-01,2024,2,EMC,26036,12759.0,10830.0,,,0.0124
2024-02-02,2024,2,CMA,25419,12019.0,8360.0,,,0.0298
2024-02-03,2024,2,MSK,27297,13383.0,14749.0,,,-0.1471
2024-02-04,2024,2,ONE,21359,9316.0,11242.0,,,-0.0679
2024-02-05,2024,2,MSC,21751,8157.0,9565.0,,,-0.1306
2024-02-06,2024,2,COSCO,23839,7269.0,9678.0,,,-0.4033
2024-02-07,2024,2,WHL,13712,7005.0,6126.0,,,0.0234
2024-02-08,2024,2,OOCL,9161,5728.0,6453.0,,,0.2074
2024-02-09,2024,2,RCL,1061,3414.0,3777.0,,,5.4166
2024-02-10,2024,2,OTHER,4257,2038.0,2015.0,,,0.4733
2024-02-11,2024,2,SITC,7321,2670.0,3116.0,,,-0.189
2024-02-12,2024,2,HAPAG,3923,2645.0,2735.0,,,0.48
2024-02-13,2024,2,YML,4176,2700.0,1535.0,,,0.2725
2024-02-14,2024,2,KMTC,5407,1735.0,3168.0,,,-0.3693
2024-02-15,2024,2,GSL,2395,1697.0,1861.0,,,0.3486
2024-02-16,2024,2,PIL,4322,1463.0,1010.0,,,-0.4338
2024-02-17,2024,2,SSL,3774,863.0,1025.0,,,-0.5488
2024-02-18,2024,2,ANL,-,575.0,0.0,,,0
2024-02-19,2024,2,HMM,3142,453.0,632.0,,,-0.7196
2024-02-20,2024,2,XCL,2448,251.0,216.0,,,-0.8162
2024-02-21,2024,2,MELL,261,80.0,0.0,,,-0.6935
2024-02-22,2024,2,KRL,206,70.0,0.0,,,-0.6602
2024-02-23,2024,2,KSL,-,0.0,0.0,,,0
2024-03-01,2024,3,EMC,38881,17518.0,16744.0,,,0.1285
2024-03-02,2024,3,CMA,34249,16376.0,17213.0,,,0.2425
2024-03-03,2024,3,MSK,41446,13068.0,14308.0,,,-0.123
2024-03-04,2024,3,ONE,32622,11695.0,12477.0,,,-0.0312
2024-03-05,2024,3,MSC,32928,10739.0,13414.0,,,-0.0996
2024-03-06,2024,3,WHL,17560,10793.0,8224.0,,,0.4138
2024-03-07,2024,3,COSCO,34027,7680.0,10735.0,,,-0.3562
2024-03-08,2024,3,OOCL,14084,6189.0,6408.0,,,0.2248
2024-03-09,2024,3,OTHER,9910,1458.0,1514.0,,,0.2284
2024-03-10,2024,3,RCL,2672,3173.0,4095.0,,,2.7354
2024-03-11,2024,3,HAPAG,6210,3361.0,3538.0,,,0.4762
2024-03-12,2024,3,SITC,10680,3167.0,3233.0,,,-0.1476
2024-03-13,2024,3,YML,7456,2556.0,974.0,,,0.0555
2024-03-14,2024,3,KMTC,8354,2299.0,2560.0,,,-0.3166
2024-03-15,2024,3,GSL,3437,2034.0,1280.0,,,0.5316
2024-03-16,2024,3,PIL,6996,1397.0,1198.0,,,-0.4505
2024-03-17,2024,3,SSL,5173,1307.0,1401.0,,,-0.4181
2024-03-18,2024,3,ANL,-,803.0,0.0,,,0
2024-03-19,2024,3,HMM,4666,582.0,585.0,,,-0.6865
2024-03-20,2024,3,XCL,4010,265.0,768.0,,,-0.8217
2024-03-21,2024,3,MELL,269,270.0,220.0,,,0.3011
2024-03-22,2024,3,KRL,112,0.0,0.0,,,-0.375
