DATE,YEAR,MONTH,LOP,TEUS ,BOX,DPP,BCH,BSH
2023-01-01,2023,1,SPI,548,477,227765975,23.77,19.44
2023-01-02,2023,1,TIL,4170,3762,2113335293,25.56,17.3
2023-02-01,2023,2,TIL,4091,3729,1931500188,25,16
2023-02-02,2023,2,SPI,180,168,96700294,24,12
2023-03-01,2023,3,TIL,6209,5468,2773457701,28,18
2023-03-02,2023,3,SPI,923,860,622549497,21,14
2023-04-01,2023,4,TIL,4123,3647,1887616843,26,19
2023-04-02,2023,4,SPI,0,0,0,0,0
2023-04-03,2023,4,TAS,393,329,249286874,21,14
2023-05-01,2023,5,TIL,2915,2639,1686764192,25,19
2023-05-02,2023,5,SPI,0,0,0,0,0
2023-05-03,2023,5,TAS,727,567,371938289,20,21
2023-06-01,2023,6,TIL,2823,2574,1014365003,29,26
2023-06-02,2023,6,SPI,2405,2173,1315460992,28,24
2023-06-03,2023,6,TAS,256,221,155985985,26,16
2023-07-01,2023,7,TIL,677,617,208359145,29,61
2023-07-02,2023,7,SPI,979,859,542915942,18,39
2023-07-03,2023,7,TAS,0,0,0,0,0
2023-07-04,2023,7,MPN,628,528,257273561,32,66
2023-07-05,2023,7,ICON,180,168,67124744,38,11
2023-08-01,2023,8,TIL,3486,3105,1305480588,28,19
2023-08-02,2023,8,SPI,2757,2409,1935179401,19,21
2023-08-03,2023,8,TAS,175,169,82610509,30,29
2023-08-04,2023,8,MPN,513,423,248599159,27,22
2023-08-05,2023,8,ICON,846,783,480683844,26,20
2023-09-01,2023,9,TIL,2846,2553,1313037649,27,21
2023-09-02,2023,9,SPI,3834,3445,2913346073,17,16
2023-09-03,2023,9,ICON,1080,965,643648667,22,19
2023-09-04,2023,9,TAS,0,0,0,0,0
2023-09-05,2023,9,MPN,0,0,0,0,0
2023-10-01,2023,10,TIL,2020,1813,851045945,26,19
2023-10-02,2023,10,SPI,5066,4598,3420495438,21,18
2023-10-03,2023,10,ICON,0,0,0,0,0
2023-10-04,2023,10,TAS,0,0,0,0,0
2023-10-05,2023,10,MPN,212,200,100168835,23,16
2023-11-01,2023,11,TIL,3163,2790,1320080632,26,17
2023-11-02,2023,11,SPI,4805,4249,3241623943,20,19
2023-11-03,2023,11,MPN,993,712,756498176,24,30
2023-11-04,2023,11,ICON,0,0,0,0,0
2023-11-05,2023,11,TAS,0,0,0,0,0
2023-12-01,2023,12,TIL,3163,2790,1320080632,26,17
2023-12-02,2023,12,SPI,4805,4249,3241623943,20,19
2023-12-03,2023,12,MPN,993,712,756498176,24,30
2023-12-04,2023,12,ICON,0,0,0,0,0
2023-12-05,2023,12,TAS,0,0,0,0,0
2023-12-06,2023,12,PNJ,44,41,24651037,34,10
2024-01-01,2024,1,SPI,6047,5325,3742267747,18,16
2024-01-02,2024,1,TIL,4012,3626,1746070892,27,19
