TAHUN,MONTH,DESCRIPTION,UNIT,2022 ACTUAL,2022 BUDGET,2022 ACTUAL VS 2022 BUDGET,2023 ACTUAL,2023 BUDGET,2023 ACTUAL VS 2023 BUDGET,2024 ACTUAL ,2024 BUDGET,2024 ACTUAL VS 2024 ACTUAL BUDGET,2025 ACTUAL,2025 BUDGET,2025 ACTUAL VS 2025 BUDGET,2026 ACTUAL,2026 BUDGET,2026 ACTUAL VS 2026 BUDGET
2022-01-01,1,Kumulatif International,TEUs,95784,96409,-0.0065,98611,104854,-0.0595,119547.0,105043.0,0.1381,114919,111747,0.028385549500210328,110561.0,116604.0,-0.0518
2022-02-01,1,International,TEUs,95784,96409,-0.0065,98611,104854,-0.0595,119547.0,105043.0,0.1381,114919,111747,0.028385549500210328,7309.0,7196.0,0.0157
2022-03-01,1,Kumulatif Domestic,TEUs,6924,8229,-0.1586,4717,7774,-0.3932,10116.0,5741.0,0.7621,5938,7196,-0.17481934408004451,,,
2022-04-01,1,Domestic,TEUs,6924,8229,-0.1586,4717,7774,-0.3932,10116.0,5741.0,0.7621,5938,7196,-0.17481934408004451,,,
2022-05-01,2,Kumulatif International,TEUs,212051,210756,0.006144546299986731,195430,207224,-0.05691425703586461,234797.0,197969.0,0.18602912577221686,232679,228099,0.020079000784746892,,,
2022-06-01,2,International,TEUs,116267,114347,0.0168,96819,102370,-0.0542,115250.0,92926.0,0.2402,117761,116352,0.012109804730473073,,,
2022-07-01,2,Kumulatif Domestic,TEUs,14192,17028,-0.16654921306084092,8988,16089,-0.44135744918888686,18144.0,10820.0,0.6768946395563771,13651,14329,-0.04731663060925395,,,
2022-08-01,2,Domestic,TEUs,7268,8799,-0.174,4271,8315,-0.4863,8028.0,5079.0,0.5806,7713,7133,0.08131221085097429,,,
2022-09-01,3,Kumulatif International,TEUs,311260,337015,0.08274432949945387,311660,314431,0.008891099274850767,359917.0,298292.0,-0.17122003128499075,361052,353507,0.021343283159880766,,,
2022-10-01,3,International,TEUs,99209,126259,-0.2142,116230,107207,0.0842,125120.0,100323.0,0.2472,128373,125408,0.023642829803521392,,,
