DATE,YEAR,MONTH,TEUS,Unnamed: 4
2022-01-01 00:00:00,2022,1,6924.0,DOMESTIC
2022-02-01 00:00:00,2022,2,7268.0,DOMESTIC
2022-03-01 00:00:00,2022,3,6821.0,DOMESTIC
2022-04-01 00:00:00,2022,4,7126.0,DOMESTIC
2022-05-01 00:00:00,2022,5,6999.0,DOMESTIC
2022-06-01 00:00:00,2022,6,7160.0,DOMESTIC
2022-07-01 00:00:00,2022,7,5500.0,DOMESTIC
2022-08-01 00:00:00,2022,8,6729.0,DOMESTIC
2022-09-01 00:00:00,2022,9,4447.0,DOMESTIC
2022-10-01 00:00:00,2022,10,3775.0,DOMESTIC
2022-11-01 00:00:00,2022,11,4991.0,DOMESTIC
2022-12-01 00:00:00,2022,12,4954.0,DOMESTIC
2023-01-01 00:00:00,2023,1,4717.0,DOMESTIC
2023-02-01 00:00:00,2023,2,4271.0,DOMESTIC
2023-03-01 00:00:00,2023,3,7489.75,DOMESTIC
2023-04-01 00:00:00,2023,4,4516.0,DOMESTIC
2023-05-01 00:00:00,2023,5,3642.0,DOMESTIC
2023-06-01 00:00:00,2023,6,5484.0,DOMESTIC
2023-07-01 00:00:00,2023,7,2464.0,DOMESTIC
2023-08-01 00:00:00,2023,8,7731.0,DOMESTIC
2023-09-01 00:00:00,2023,9,7654.75,DOMESTIC
2023-10-01 00:00:00,2023,10,7281.0,DOMESTIC
2023-11-01 00:00:00,2023,11,8572.75,DOMESTIC
2023-12-01 00:00:00,2023,12,9890.0,DOMESTIC
2024-01-01 00:00:00,2024,1,10116.0,DOMESTIC
2024-02-01 00:00:00,2024,2,8028.0,DOMESTIC
03/2024,2024,2,8647.0,DOMESTIC
04/2024,2024,2,3697.0,DOMESTIC
