DATE,YEAR,MONTH_CODE,MONTH,LOP,TEUS ,Boxes,BCH,BSH
2023-01-01,2023,1,January,SPI,548,548,"23,77","19,44"
2023-01-02,2023,1,January,TIL,4170,4170,"25,56","17,3"
2023-02-01,2023,2,February,TIL,4091,4091,25,16
2023-02-02,2023,2,February,SPI,180,180,24,12
2023-03-01,2023,3,March,TIL,6209,6209,28,18
2023-03-02,2023,3,March,SPI,923,923,21,14
2023-04-01,2023,4,April,TIL,4123,4123,26,19
2023-04-02,2023,4,April,SPI,0,0,0,0
2023-04-03,2023,4,April,TAS,393,393,21,14
2023-05-01,2023,5,May,TIL,2915,2915,25,19
2023-05-02,2023,5,May,SPI,0,0,0,0
2023-05-03,2023,5,May,TAS,727,727,20,21
2023-06-01,2023,6,June,TIL,2823,2823,29,26
2023-06-02,2023,6,June,SPI,2405,2405,28,24
2023-06-03,2023,6,June,TAS,256,256,26,16
2023-07-01,2023,7,July,TIL,677,677,29,61
2023-07-02,2023,7,July,SPI,979,979,18,39
2023-07-03,2023,7,July,TAS,0,0,0,0
2023-07-04,2023,7,July,MPN,628,628,32,66
2023-07-05,2023,7,July,ICON,180,180,38,11
2023-08-01,2023,8,August,TIL,3486,3486,28,19
2023-08-02,2023,8,August,SPI,2757,2757,19,21
2023-08-03,2023,8,August,TAS,175,175,30,29
2023-08-04,2023,8,August,MPN,513,513,27,22
2023-08-05,2023,8,August,ICON,846,846,26,20
2023-09-01,2023,9,September,TIL,2846,2846,27,21
2023-09-02,2023,9,September,SPI,3834,3834,17,16
2023-09-03,2023,9,September,ICON,1080,1080,22,19
2023-09-04,2023,9,September,TAS,0,0,0,0
2023-09-05,2023,9,September,MPN,0,0,0,0
2023-10-01,2023,10,October,TIL,2020,2020,26,19
2023-10-02,2023,10,October,SPI,5066,5066,21,18
2023-10-03,2023,10,October,ICON,0,0,0,0
2023-10-04,2023,10,October,TAS,0,0,0,0
2023-10-05,2023,10,October,MPN,212,212,23,16
2023-11-01,2023,11,November,TIL,3163,3163,26,17
2023-11-02,2023,11,November,SPI,4805,4805,20,19
2023-11-03,2023,11,November,MPN,993,993,24,30
2023-11-04,2023,11,November,ICON,0,0,0,0
2023-11-05,2023,11,November,TAS,0,0,0,0
2023-12-01,2023,12,December,TIL,3163,3163,26,17
2023-12-02,2023,12,December,SPI,4805,4805,20,19
2023-12-03,2023,12,December,MPN,993,993,24,30
2023-12-04,2023,12,December,ICON,0,0,0,0
2023-12-05,2023,12,December,TAS,0,0,0,0
2023-12-06,2023,12,December,PNJ,44,44,34,10
2024-01-01,2024,1,January,SPI,6047,6047,18,16
2024-01-02,2024,1,January,TIL,4012,4012,27,19
2024-01-03,2024,1,January,PNJ,65,65,27,12
2024-01-04,2024,1,January,MPN,0,0,0,0
2024-01-05,2024,1,January,ICON,0,0,0,0
2024-01-06,2024,1,January,TAS,0,0,0,0
2024-02-01,2024,2,February,SPI,3468,3468,17,21
2024-02-02,2024,2,February,TIL,4380,4380,26,21
2024-02-03,2024,2,February,PNJ,180,180,27,9
2024-02-04,2024,2,February,MPN,0,0,0,0
2024-02-05,2024,2,February,ICON,0,0,0,0
2024-02-06,2024,2,February,TAS,0,0,0,0
2024-03-01,2024,3,March,SPI,2440,2440,20,20
2024-03-01,2024,3,March,TIL,5601,5601,27,19
