TANGGAL,YEAR,MONTH,LOP,TEUS,%
01/2022,2022,1,CMA,12085,0.14641898573244808
01/2022,2022,1,EMC,12494,0.08139107418572164
01/2022,2022,1,MSK,14065,-0.4222873900293255
01/2022,2022,1,MSC,11120,-0.03403384787055979
01/2022,2022,1,ONE,12015,-0.1343466767371601
01/2022,2022,1,WHL,6221,0.12157582603784242
01/2022,2022,1,COSCO,10768,-0.5480161012075906
01/2022,2022,1,OOCL,5100,0.04369023063941496
01/2022,2022,1,RCL,618,0.8179139658220389
01/2022,2022,1,HAPAG,0,0.0
01/2022,2022,1,SITC,4174,-0.23967923967923968
01/2022,2022,1,KMTC,3316,-0.9785202863961814
01/2022,2022,1,YML,2275,0.12968630451415455
01/2022,2022,1,GSL,1186,0.2263535551206784
01/2022,2022,1,OTHERS,2347,0.2756172839506173
01/2022,2022,1,SSL,2157,-1.5678571428571428
01/2022,2022,1,PIL,2262,-1.298780487804878
01/2022,2022,1,ANL,0,0.0
01/2022,2022,1,HMM,1559,-2.642523364485981
01/2022,2022,1,XCL,1542,-6.748743718592965
01/2022,2022,1,MELL,255,0.0
01/2022,2022,1,BEN,0,0.0
01/2022,2022,1,KRL,0,0.0
2022-02-01 00:00:00,2022,2,KSL,0,0.0
2022-02-02 00:00:00,2022,2,CMA,25419,0.02895671772930435
2022-02-03 00:00:00,2022,2,EMC,26036,0.012291350531107739
2022-02-04 00:00:00,2022,2,MSK,27297,-0.1724004638577503
2022-02-05 00:00:00,2022,2,MSC,22751,-0.20305642218814446
2022-02-06 00:00:00,2022,2,ONE,21359,-0.07288527225236086
2022-02-07 00:00:00,2022,2,WHL,13712,0.02287465260457493
2022-02-08 00:00:00,2022,2,COSCO,23893,-0.6796485061511424
2022-02-09 00:00:00,2022,2,OOCL,9161,0.1717747039146551
2022-02-10 00:00:00,2022,2,RCL,1061,0.8441539365452408
2022-02-11 00:00:00,2022,2,HAPAG,0,0.0
2022-02-12 00:00:00,2022,2,SITC,7321,-0.23311436752568637
2022-02-13 00:00:00,2022,2,KMTC,5047,-0.48005865102639295
2022-02-14 00:00:00,2022,2,YML,4176,0.21415129845690628
2022-02-15 00:00:00,2022,2,GSL,2395,0.2585139318885449
2022-02-16 00:00:00,2022,2,OTHERS,4257,0.32126913265306123
2022-02-17 00:00:00,2022,2,SSL,3774,-1.2160892542571933
2022-02-18 00:00:00,2022,2,PIL,4322,-0.7662443808745403
2022-02-19 00:00:00,2022,2,ANL,0,1.0
2022-02-20 00:00:00,2022,2,HMM,3142,-2.5664018161180477
2022-02-21 00:00:00,2022,2,XCL,2448,-4.44
2022-02-22 00:00:00,2022,2,MELL,261,-2.2625
2022-02-23 00:00:00,2022,2,BEN,0,0.0
2022-02-24 00:00:00,2022,2,KRL,206,-1.9428571428571428
2022-02-25 00:00:00,2022,2,KSL,0,0.0
2022-03-01 00:00:00,2022,3,CMA,34294,0.19408737339318027
2022-03-02 00:00:00,2022,3,EMC,38881,0.11388395095492046
2022-03-03 00:00:00,2022,3,MSK,41446,-0.14019257221458048
2022-03-04 00:00:00,2022,3,MSC,32928,-0.11055649241146712
2022-03-05 00:00:00,2022,3,ONE,32622,-0.03224377432522229
2022-03-06 00:00:00,2022,3,WHL,17560,0.2926770321437203
2022-03-07 00:00:00,2022,3,COSCO,34027,-0.5533896370691623
2022-03-08 00:00:00,2022,3,OOCL,14084,0.18353623188405796
2022-03-09 00:00:00,2022,3,RCL,2672,0.7322913535717864
2022-03-10 00:00:00,2022,3,HAPAG,6210,0.3225700883604233
2022-03-11 00:00:00,2022,3,SITC,10680,-0.17311072056239016
2022-03-12 00:00:00,2022,3,KMTC,8354,-0.4633035557891049
2022-03-13 00:00:00,2022,3,YML,7456,0.052604828462515886
2022-03-14 00:00:00,2022,3,GSL,3437,0.3470744680851064
2022-03-15 00:00:00,2022,3,OTHERS,9910,0.18590322845641993
2022-03-16 00:00:00,2022,3,SSL,5173,-0.7186046511627907
2022-03-17 00:00:00,2022,3,PIL,6996,-0.8199791883454735
2022-03-18 00:00:00,2022,3,ANL,0,1.0
2022-03-19 00:00:00,2022,3,HMM,4666,-2.189336978810663
2022-03-20 00:00:00,2022,3,XCL,4010,-4.608391608391608
2022-03-21 00:00:00,2022,3,MELL,269,0.23142857142857143
2022-03-22 00:00:00,2022,3,BEN,0,0.0
2022-03-23 00:00:00,2022,3,KRL,112,-0.6
2022-03-24 00:00:00,2022,3,KSL,0,0.0
2022-04-01 00:00:00,2022,4,CMA,48138,0.18310480586478414
2022-04-02 00:00:00,2022,4,EMC,55238,0.009326015997704365
2022-04-03 00:00:00,2022,4,MSK,61173,-0.17796691764071557
2022-04-04 00:00:00,2022,4,MSC,41616,-0.05213126358901755
2022-04-05 00:00:00,2022,4,ONE,42913,-0.052588976918737276
2022-04-06 00:00:00,2022,4,WHL,22810,0.27345118649466477
2022-04-07 00:00:00,2022,4,COSCO,45728,-0.649341749323715
2022-04-08 00:00:00,2022,4,OOCL,18000,0.17823228634039445
2022-04-09 00:00:00,2022,4,RCL,5811,0.5402689873417722
2022-04-10 00:00:00,2022,4,HAPAG,8478,0.29672335130651184
2022-04-11 00:00:00,2022,4,SITC,13846,-0.14505458154151504
2022-04-12 00:00:00,2022,4,KMTC,10478,-0.3823218997361478
2022-04-13 00:00:00,2022,4,YML,9387,0.058192033711247114
2022-04-14 00:00:00,2022,4,GSL,3829,0.4472354554641259
2022-04-15 00:00:00,2022,4,OTHERS,8887,0.4722684085510689
2022-04-16 00:00:00,2022,4,SSL,6659,-0.6369223205506391
2022-04-17 00:00:00,2022,4,PIL,9897,-1.0990455991516437
2022-04-18 00:00:00,2022,4,ANL,3304,-0.28310679611650486
2022-04-19 00:00:00,2022,4,HMM,6193,-2.4253318584070795
2022-04-20 00:00:00,2022,4,XCL,5196,-4.280487804878049
2022-04-21 00:00:00,2022,4,MELL,480,-0.37142857142857144
2022-04-22 00:00:00,2022,4,BEN,0,0.0
2022-04-23 00:00:00,2022,4,KRL,318,-3.5428571428571427
2022-04-24 00:00:00,2022,4,KSL,285,0.0
2022-05-01 00:00:00,2022,5,CMA,60113,0.24023963296722742
2022-05-02 00:00:00,2022,5,EMC,65036,0.11241521433543052
2022-05-03 00:00:00,2022,5,MSK,75633,-0.14435937783695454
2022-05-04 00:00:00,2022,5,MSC,50535,0.07494188068608248
2022-05-05 00:00:00,2022,5,ONE,52795,-0.00024629608578682124
2022-05-06 00:00:00,2022,5,WHL,27038,0.2986979301758572
2022-05-07 00:00:00,2022,5,COSCO,56025,-0.5699433951689739
2022-05-08 00:00:00,2022,5,OOCL,22510,0.18204941860465115
2022-05-09 00:00:00,2022,5,RCL,7563,0.5371197747720179
2022-05-10 00:00:00,2022,5,HAPAG,10481,0.30672046567006217
2022-05-11 00:00:00,2022,5,SITC,16806,-0.09521016617790812
2022-05-12 00:00:00,2022,5,KMTC,11364,-0.10760233918128655
2022-05-13 00:00:00,2022,5,YML,11682,0.06945993308905528
2022-05-14 00:00:00,2022,5,GSL,4695,0.48195961602118503
2022-05-15 00:00:00,2022,5,OTHERS,11760,-0.15588755651661096
2022-05-16 00:00:00,2022,5,SSL,8756,-0.6107431935246505
2022-05-17 00:00:00,2022,5,PIL,11250,-1.0222901312241597
2022-05-18 00:00:00,2022,5,ANL,4080,-0.1349095966620306
2022-05-19 00:00:00,2022,5,HMM,7059,-1.9547928003348682
2022-05-20 00:00:00,2022,5,XCL,5932,-3.5282442748091603
2022-05-21 00:00:00,2022,5,MELL,495,-0.2595419847328244
2022-05-22 00:00:00,2022,5,BEN,0,0.0
2022-05-23 00:00:00,2022,5,KRL,318,-3.5428571428571427
2022-05-24 00:00:00,2022,5,KSL,333,0.0
2022-06-01 00:00:00,2022,6,CMA,78840,0.16646402706560237
2022-06-02 00:00:00,2022,6,EMC,80647,0.09721149433007578
2022-06-03 00:00:00,2022,6,MSK,89453,-0.057664112750662126
2022-06-04 00:00:00,2022,6,MSC,59848,0.09051121512370068
2022-06-05 00:00:00,2022,6,ONE,63478,0.014301464308451995
2022-06-06 00:00:00,2022,6,WHL,31937,0.2745712663259512
2022-06-07 00:00:00,2022,6,COSCO,67829,-0.5739412924933287
2022-06-08 00:00:00,2022,6,OOCL,27553,0.15195444752231455
2022-06-09 00:00:00,2022,6,RCL,11183,0.43625548217976506
2022-06-10 00:00:00,2022,6,HAPAG,12908,0.2890504516413307
2022-06-11 00:00:00,2022,6,SITC,19090,-0.03044370074489906
2022-06-12 00:00:00,2022,6,KMTC,12493,0.07424972211930345
2022-06-13 00:00:00,2022,6,YML,13911,0.10170476559473073
2022-06-14 00:00:00,2022,6,GSL,6009,0.4400335476656416
2022-06-15 00:00:00,2022,6,OTHERS,14710,-0.19944553163731246
2022-06-16 00:00:00,2022,6,SSL,10483,-0.48589652728561306
2022-06-17 00:00:00,2022,6,PIL,12657,-0.9297148955633481
2022-06-18 00:00:00,2022,6,ANL,5269,-0.2509496676163343
2022-06-19 00:00:00,2022,6,HMM,7819,-1.5805280528052805
2022-06-20 00:00:00,2022,6,XCL,6536,-3.3170409511228534
2022-06-21 00:00:00,2022,6,MELL,496,0.32882273342354534
2022-06-22 00:00:00,2022,6,BEN,0,0.0
2022-06-23 00:00:00,2022,6,KRL,510,-6.285714285714286
2022-06-24 00:00:00,2022,6,KSL,778,0.0
2022-07-01 00:00:00,2022,7,CMA,96589,0.17486203420526578
2022-07-02 00:00:00,2022,7,EMC,95541,0.10839337041322931
2022-07-03 00:00:00,2022,7,MSK,103180,-0.020674646354733407
2022-07-04 00:00:00,2022,7,MSC,69137,0.11935241443438165
2022-07-05 00:00:00,2022,7,ONE,72893,0.03616385465700534
2022-07-06 00:00:00,2022,7,WHL,37284,0.2809257473481196
2022-07-07 00:00:00,2022,7,COSCO,79527,-0.6020426663443524
2022-07-08 00:00:00,2022,7,OOCL,32599,0.12811254647088716
2022-07-09 00:00:00,2022,7,RCL,13863,0.4270540585220698
2022-07-10 00:00:00,2022,7,HAPAG,15329,0.28100375234521574
2022-07-11 00:00:00,2022,7,SITC,22566,-0.020393398146054714
2022-07-12 00:00:00,2022,7,KMTC,14851,0.11685299714557565
2022-07-13 00:00:00,2022,7,YML,17092,0.028973980229519372
2022-07-14 00:00:00,2022,7,GSL,7917,0.34429352327314894
2022-07-15 00:00:00,2022,7,OTHERS,18015,-0.31285526891123744
2022-07-16 00:00:00,2022,7,SSL,11575,-0.3358338141950375
2022-07-17 00:00:00,2022,7,PIL,13925,-0.7829705505761844
2022-07-18 00:00:00,2022,7,ANL,6282,-0.17684526039715248
2022-07-19 00:00:00,2022,7,HMM,8887,-1.1975766567754698
2022-07-20 00:00:00,2022,7,XCL,7228,-2.7104722792607805
2022-07-21 00:00:00,2022,7,MELL,502,0.6351744186046512
2022-07-22 00:00:00,2022,7,BEN,0,0.0
2022-07-23 00:00:00,2022,7,KRL,510,-6.285714285714286
2022-07-24 00:00:00,2022,7,KSL,778,0.0
2022-08-01 00:00:00,2022,8,CMA,117329,0.13281694617107295
2022-08-02 00:00:00,2022,8,EMC,109168,0.1268376177755027
2022-08-03 00:00:00,2022,8,MSK,118877,-0.029309389394936446
2022-08-04 00:00:00,2022,8,MSC,81279,0.12773926294777962
2022-08-05 00:00:00,2022,8,ONE,80591,0.07148946956080926
2022-08-06 00:00:00,2022,8,WHL,43163,0.27205113502209327
2022-08-07 00:00:00,2022,8,COSCO,89952,-0.6425388941640494
2022-08-08 00:00:00,2022,8,OOCL,37879,0.11360977207843871
2022-08-09 00:00:00,2022,8,RCL,17567,0.3568264196536448
2022-08-10 00:00:00,2022,8,HAPAG,17257,0.2913809386933848
2022-08-11 00:00:00,2022,8,SITC,26112,-0.04285314908742362
2022-08-12 00:00:00,2022,8,KMTC,17448,0.12422827887366361
2022-08-13 00:00:00,2022,8,YML,19454,0.038928959588973425
2022-08-14 00:00:00,2022,8,GSL,9467,0.3301018964053213
2022-08-15 00:00:00,2022,8,OTHERS,21627,-0.48099705539957543
2022-08-16 00:00:00,2022,8,SSL,12620,-0.22906116088819634
2022-08-17 00:00:00,2022,8,PIL,15468,-0.7234540389972145
2022-08-18 00:00:00,2022,8,ANL,7314,-0.16669325251236242
2022-08-19 00:00:00,2022,8,HMM,10073,-1.110412738319715
2022-08-20 00:00:00,2022,8,XCL,7734,-2.070265978562922
2022-08-21 00:00:00,2022,8,MELL,743,0.5593119810201661
2022-08-22 00:00:00,2022,8,BEN,0,1.0
2022-08-23 00:00:00,2022,8,KRL,803,-10.471428571428572
2022-08-24 00:00:00,2022,8,KSL,0,0.0
2022-09-01 00:00:00,2022,9,CMA,133054,0.12433364484751161
2022-09-02 00:00:00,2022,9,EMC,119331,0.15396886166411433
2022-09-03 00:00:00,2022,9,MSK,131509,0.012042490534286916
2022-09-04 00:00:00,2022,9,MSC,88856,0.1968327427868971
2022-09-05 00:00:00,2022,9,ONE,91264,0.0787090782447179
2022-09-06 00:00:00,2022,9,WHL,48737,0.26748729972645563
2022-09-07 00:00:00,2022,9,COSCO,97974,-0.6170795715252447
2022-09-08 00:00:00,2022,9,OOCL,43534,0.07680888964288744
2022-09-09 00:00:00,2022,9,RCL,20890,0.3176101656159148
2022-09-10 00:00:00,2022,9,HAPAG,19522,0.3038547944228506
2022-09-11 00:00:00,2022,9,SITC,29046,-0.009663515016685206
2022-09-12 00:00:00,2022,9,KMTC,19630,0.13018433179723501
2022-09-13 00:00:00,2022,9,YML,22124,-0.004494892167990919
2022-09-14 00:00:00,2022,9,GSL,11034,0.3073011488480131
2022-09-15 00:00:00,2022,9,OTHERS,24635,-0.6216838917780264
2022-09-16 00:00:00,2022,9,SSL,13275,-0.1426235152349802
2022-09-17 00:00:00,2022,9,PIL,17045,-0.6119727633818801
2022-09-18 00:00:00,2022,9,ANL,8410,-0.17196209587513936
2022-09-19 00:00:00,2022,9,HMM,10933,-1.0238800444279896
2022-09-20 00:00:00,2022,9,XCL,8211,-1.665909090909091
2022-09-21 00:00:00,2022,9,MELL,804,0.58125
2022-09-22 00:00:00,2022,9,BEN,0,1.0
2022-09-23 00:00:00,2022,9,KRL,803,-10.471428571428572
2022-09-24 00:00:00,2022,9,KSL,0,0.0
2022-10-01 00:00:00,2022,10,CMA,158915,0.05819218414783031
2022-10-02 00:00:00,2022,10,EMC,134265,0.15067843248885093
2022-10-03 00:00:00,2022,10,MSK,148638,0.03627628328567816
2022-10-04 00:00:00,2022,10,MSC,97534,0.2123492881312132
2022-10-05 00:00:00,2022,10,ONE,103014,0.08047023538548055
2022-10-06 00:00:00,2022,10,WHL,54822,0.2606309088702173
2022-10-07 00:00:00,2022,10,COSCO,106522,-0.5516000757432304
2022-10-08 00:00:00,2022,10,OOCL,49713,0.05084389796853521
2022-10-09 00:00:00,2022,10,RCL,24778,0.27292467501980694
2022-10-10 00:00:00,2022,10,HAPAG,19522,0.39380201217240096
2022-10-11 00:00:00,2022,10,SITC,32194,-0.0026160074743070694
2022-10-12 00:00:00,2022,10,KMTC,21837,0.13881768347990692
2022-10-13 00:00:00,2022,10,YML,24871,-0.028407211379424414
2022-10-14 00:00:00,2022,10,GSL,12339,0.3158682634730539
2022-10-15 00:00:00,2022,10,OTHERS,27905,-0.7339837196296527
2022-10-16 00:00:00,2022,10,SSL,14221,-0.06932852094142417
2022-10-17 00:00:00,2022,10,PIL,18498,-0.5714892532495115
2022-10-18 00:00:00,2022,10,ANL,0,1.0
2022-10-19 00:00:00,2022,10,HMM,11851,-0.9408778250900753
2022-10-20 00:00:00,2022,10,XCL,8413,-1.2087161984772907
2022-10-21 00:00:00,2022,10,MELL,850,0.602803738317757
2022-10-22 00:00:00,2022,10,BEN,0,1.0
2022-10-23 00:00:00,2022,10,KRL,1146,-15.371428571428572
2022-10-24 00:00:00,2022,10,KSL,983,0.0
2022-11-01 00:00:00,2022,11,CMA,176873,0.037336787621167676
2022-11-02 00:00:00,2022,11,EMC,148163,0.16426186232260104
2022-11-03 00:00:00,2022,11,MSK,163753,0.028177874315285963
2022-11-04 00:00:00,2022,11,MSC,107820,0.20050422660536854
2022-11-05 00:00:00,2022,11,ONE,113352,0.09458919756537854
2022-11-06 00:00:00,2022,11,WHL,60705,0.25196850393700787
2022-11-07 00:00:00,2022,11,COSCO,113737,-0.5026290757279501
2022-11-08 00:00:00,2022,11,OOCL,55295,0.032322984844772674
2022-11-09 00:00:00,2022,11,RCL,28079,0.25176539558184774
2022-11-10 00:00:00,2022,11,HAPAG,19522,0.44892025405786873
2022-11-11 00:00:00,2022,11,SITC,35487,-0.005041207624118496
2022-11-12 00:00:00,2022,11,KMTC,23985,0.137571464528424
2022-11-13 00:00:00,2022,11,YML,27994,-0.08403035935563817
2022-11-14 00:00:00,2022,11,GSL,14432,0.26614461507169734
2022-11-15 00:00:00,2022,11,OTHERS,31313,-0.8108373814480685
2022-11-16 00:00:00,2022,11,SSL,15222,-0.030742145178764897
2022-11-17 00:00:00,2022,11,PIL,19854,-0.5259395895780493
2022-11-18 00:00:00,2022,11,ANL,0,1.0
2022-11-19 00:00:00,2022,11,HMM,12592,-0.9414122725871107
2022-11-20 00:00:00,2022,11,XCL,8558,-0.913257321708026
2022-11-21 00:00:00,2022,11,MELL,894,0.6578645235361653
2022-11-22 00:00:00,2022,11,BEN,0,1.0
2022-11-23 00:00:00,2022,11,KRL,1146,-15.371428571428572
2022-11-24 00:00:00,2022,11,KSL,983,0.0
2022-12-01 00:00:00,2022,12,CMA,199067,0.02193277682515194
2022-12-02 00:00:00,2022,12,EMC,163326,0.15897610183368607
2022-12-03 00:00:00,2022,12,MSK,179658,0.030683320294585772
2022-12-04 00:00:00,2022,12,MSC,115596,0.20421861339244532
2022-12-05 00:00:00,2022,12,ONE,124359,0.10929106562191121
2022-12-06 00:00:00,2022,12,WHL,68490,0.22728913759646194
2022-12-07 00:00:00,2022,12,COSCO,121343,-0.4589931344611574
2022-12-08 00:00:00,2022,12,OOCL,60927,0.023417964993267936
2022-12-09 00:00:00,2022,12,RCL,31561,0.23341672536494135
2022-12-10 00:00:00,2022,12,HAPAG,28766,0.2812991880074953
2022-12-11 00:00:00,2022,12,SITC,39109,0.003109785628711988
2022-12-12 00:00:00,2022,12,KMTC,26467,0.14387837619278668
2022-12-13 00:00:00,2022,12,YML,30386,-0.1010617096061166
2022-12-14 00:00:00,2022,12,GSL,16092,0.2519871705480407
2022-12-15 00:00:00,2022,12,OTHERS,34782,-0.7951073492981008
2022-12-16 00:00:00,2022,12,SSL,15947,0.038178528347406517
2022-12-17 00:00:00,2022,12,PIL,20909,-0.45565302144249514
2022-12-18 00:00:00,2022,12,ANL,0,1.0
2022-12-19 00:00:00,2022,12,HMM,13160,-0.8467583497053045
2022-12-20 00:00:00,2022,12,XCL,9169,-0.8341668333666733
2022-12-21 00:00:00,2022,12,MELL,1034,0.6664516129032259
2022-12-22 00:00:00,2022,12,BEN,0,1.0
2022-12-23 00:00:00,2022,12,KRL,1275,-17.214285714285715
2022-12-24 00:00:00,2022,12,KSL,983,0.0
2023-01-01 00:00:00,2023,1,CMA,14158,0.25648566327066485
