DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH,AVERAGE CD,TEUS 2023,BOX 2023,DPP 2023,BCH 2023,BSH 2023,AVERAGE CD 2023
2023-01-01,2023,1,SPI,548,477,227765975,23.77,19.44,0.8,4170.0,3762.0,Rp. 2.113.335.293,26.0,17.0,0.8
2023-01-02,2023,1,TIL,4170,3762,2113335293,25.56,17.3,0.8,548.0,477.0,Rp. 227.765.975,24.0,19.0,0.8
2023-02-01,2023,2,TIL,4091,3729,1931500188,25,16,0.9,8261.0,7491.0,4044835481,25.0,17.0,0.9
2023-02-02,2023,2,SPI,180,168,96700294,24,12,0.8,728.0,645.0,324466269,24.0,16.0,0.8
2023-03-01,2023,3,TIL,6209,5468,2773457701,28,18,0.9,14470.0,12959.0,6818293182,26.0,17.0,0.9
2023-03-02,2023,3,SPI,923,860,622549497,21,14,0.7,1651.0,1505.0,947015766,23.0,15.0,0.7
2023-04-01,2023,4,TIL,4123,3647,1887616843,26,19,0.9,18593.0,16606.0,8705910025,26.0,18.0,0.9
2023-04-02,2023,4,SPI,0,0,0,0,0,0,1651.0,1505.0,947015766,23.0,15.0,0.0
2023-04-03,2023,4,TAS,393,329,249286874,21,14,1.2,393.0,329.0,249286874,21.0,14.0,1.2
2023-05-01,2023,5,TIL,2915,2639,1686764192,25,19,1,21508.0,19245.0,10392674217,26.0,18.0,1.0
2023-05-02,2023,5,SPI,0,0,0,0,0,0,1651.0,1505.0,947015766,23.0,15.0,0.0
2023-05-03,2023,5,TAS,727,567,371938289,20,21,1.2,1120.0,896.0,621225163,21.0,18.0,1.2
2023-06-01,2023,6,TIL,2823,2574,1014365003,29,26,1,24331.0,21819.0,11407039220,26.0,19.0,1.0
2023-06-02,2023,6,SPI,2405,2173,1315460992,28,24,1.2,4056.0,3678.0,2262476.758,24.0,18.0,1.2
2023-06-03,2023,6,TAS,256,221,155985985,26,16,1,1376.0,1117.0,777211.147,21.0,17.0,1.0
2023-07-01,2023,7,TIL,677,617,208359145,29,61,1,25008.0,22436.0,11615398365,27.0,25.0,1.0
2023-07-02,2023,7,SPI,979,859,542915942,18,39,1.2,5035.0,4537.0,2805392700,23.0,22.0,1.2
2023-07-03,2023,7,TAS,0,0,0,0,0,0,1376.0,1117.0,777211147,22.0,17.0,0.0
2023-07-04,2023,7,MPN,628,528,257273561,32,66,1,628.0,528.0,257273561,32.0,66.0,1.0
2023-07-05,2023,7,ICON,180,168,67124744,38,11,0.9,180.0,168.0,67124744,38.0,11.0,0.9
2023-08-01,2023,8,TIL,3486,3105,1305480588,28,19,0,28494.0,25541.0,12920878952,27.0,25.0,0.0
2023-08-02,2023,8,SPI,2757,2409,1935179401,19,21,1.3,7792.0,6946.0,4740572102,22.0,22.0,1.3
2023-08-03,2023,8,TAS,175,169,82610509,30,29,1.3,1551.0,1286.0,859821656,24.0,20.0,1.3
2023-08-04,2023,8,MPN,513,423,248599159,27,22,1,1141.0,951.0,505872720,29.0,44.0,1.0
2023-08-05,2023,8,ICON,846,783,480683844,26,20,0.9,1026.0,951.0,547808588,32.0,16.0,0.9
2023-09-01,2023,9,TIL,2846,2553,1313037649,27,21,0.9,31340.0,28094.0,14233916601,27.0,24.0,0.9
2023-09-02,2023,9,SPI,3834,3445,2913346073,17,16,1.1,11626.0,10391.0,7653918175,22.0,21.0,1.1
2023-09-03,2023,9,ICON,1080,965,643648667,22,19,0.9,2106.0,1916.0,1191457255,29.0,17.0,0.9
2023-09-04,2023,9,TAS,0,0,0,0,0,0,1551.0,1286.0,859821656,24.0,20.0,0.0
2023-09-05,2023,9,MPN,0,0,0,0,0,0,1141.0,951.0,505872720,29.0,44.0,0.0
2023-10-01,2023,10,TIL,2020,1813,851045945,26,19,0.9,33360.0,29907.0,15084962546,27.0,24.0,0.9
2023-10-02,2023,10,SPI,5066,4598,3420495438,21,18,1.1,16692.0,14989.0,11074413613,22.0,21.0,1.1
2023-10-03,2023,10,ICON,0,0,0,0,0,0,2106.0,1916.0,1191457255,29.0,17.0,0.0
2023-10-04,2023,10,TAS,0,0,0,0,0,0,1551.0,1286.0,859821656,24.0,20.0,0.0
2023-10-05,2023,10,MPN,212,200,100168835,23,16,1,1353.0,1151.0,606041555,27.0,34.0,1.0
2023-11-01,2023,11,TIL,3163,2790,1320080632,26,17,0.9,36523.0,32697.0,16405043178,27.0,23.0,0.9
2023-11-02,2023,11,SPI,4805,4249,3241623943,20,19,1.1,21497.0,19238.0,14316037557,22.0,20.0,1.1
2023-11-03,2023,11,MPN,993,712,756498176,24,30,2,2346.0,1863.0,1362539731,26.0,33.0,2.0
2023-11-04,2023,11,ICON,0,0,0,0,0,0,2106.0,1916.0,1191457255,29.0,17.0,0.0
2023-11-05,2023,11,TAS,0,0,0,0,0,0,1551.0,1286.0,859821656,24.0,20.0,0.0
2023-12-01,2023,12,TIL,3163,2790,1320080632,26,17,1,39581.0,35467.0,17575690835,27.0,23.0,1.0
2023-12-02,2023,12,SPI,4805,4249,3241623943,20,19,1,26866.0,24112.0,17917171495,21.0,20.0,1.0
2023-12-03,2023,12,MPN,993,712,756498176,24,30,2,3298.0,2712.0,2048034022,24.0,31.0,2.0
2023-12-04,2023,12,ICON,0,0,0,0,0,0,2505.0,2269.0,1304873506,28.0,16.0,1.0
2023-12-05,2023,12,TAS,0,0,0,0,0,0,1551.0,1286.0,859821656,24.0,20.0,0.0
2023-12-06,2023,12,PNJ,44,41,24651037,34,10,1,168.0,139.0,86919220,33.0,10.0,1.0
2024-01-01,2024,1,SPI,6047,5325,3742267747,18,16,2.1,0.0,0.0,0,0.0,0.0,0.0
2024-01-02,2024,1,TIL,4012,3626,1746070892,27,19,1.8,0.0,0.0,0,0.0,0.0,0.0
2024-01-03,2024,1,PNJ,65,61,37408278,27,12,2,0.0,0.0,0,0.0,0.0,0.0
2024-01-04,2024,1,MPN,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
2024-01-05,2024,1,ICON,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
2024-01-06,2024,1,TAS,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
2024-02-01,2024,2,SPI,3468,3091,2370594771,17,21,2.4,0.0,0.0,0,0.0,0.0,0.0
