date,year,month,lop,persentase,tahun_kategori,total_teus,sumber_sheet
2024-01-01,2024,1,CMA,0.1715,2022,12085.0,B.OPR INT
2024-01-02,2024,1,EMC,0.0886,2022,12494.0,B.OPR INT
2024-01-03,2024,1,MSC,-0.0329,2022,11120.0,B.OPR INT
2024-01-04,2024,1,ONE,-0.1184,2022,12015.0,B.OPR INT
2024-01-05,2024,1,MSK,-0.2962,2022,14065.0,B.OPR INT
2024-01-06,2024,1,WHL,0.1297,2022,6221.0,B.OPR INT
2024-01-07,2024,1,COSCO,-0.354,2022,10768.0,B.OPR INT
2024-01-08,2024,1,OOCL,0.0457,2022,5100.0,B.OPR INT
2024-01-09,2024,1,RCL,4.4919,2022,2297.0,B.OPR INT
2024-01-10,2024,1,SITC,-0.2173,2022,2275.0,B.OPR INT
2024-01-11,2024,1,HPL,0.3761,2022,3316.0,B.OPR INT
2024-01-12,2024,1,YML,0.149,2022,1186.0,B.OPR INT
2024-01-13,2024,1,KMTC,-0.4946,2022,2262.0,B.OPR INT
2024-01-14,2024,1,GSL,0.2926,2022,2157.0,B.OPR INT
2024-01-15,2024,1,PIL,-0.565,2022,2297.0,B.OPR INT
2024-01-16,2024,1,SSL,-0.6106,2022,2275.0,B.OPR INT
2024-01-17,2024,1,HMM,-0.7255,2022,1559.0,B.OPR INT
2024-01-18,2024,1,ANL,0.0,2022,0.0,B.OPR INT
2024-01-19,2024,1,XCL,-0.8709,2022,1542.0,B.OPR INT
2024-01-20,2024,1,KRL,0.0,2022,0.0,B.OPR INT
2024-01-21,2024,1,KSL,0.0,2022,0.0,B.OPR INT
2024-01-22,2024,1,MELL,-1.0,2022,255.0,B.OPR INT
2024-01-23,2024,1,OTHER,0.3805,2022,2347.0,B.OPR INT
2024-02-01,2024,2,EMC,0.0124,2022,26036.0,B.OPR INT
2024-02-02,2024,2,CMA,0.0298,2022,25419.0,B.OPR INT
2024-02-03,2024,2,MSK,-0.1471,2022,27297.0,B.OPR INT
2024-02-04,2024,2,ONE,-0.0679,2022,21359.0,B.OPR INT
2024-02-05,2024,2,MSC,-0.1306,2022,21751.0,B.OPR INT
2024-02-06,2024,2,COSCO,-0.4033,2022,23839.0,B.OPR INT
2024-02-07,2024,2,WHL,0.0234,2022,13712.0,B.OPR INT
