year,month,description,unit,actual,budget,actual_vs_budget,kategori_layanan
2022,Januari,Domestic,TEUs,6924.0,8229.0,-0.1586,DOMESTIC
2022,Februari,Domestic,TEUs,7268.0,8799.0,-0.174,DOMESTIC
2022,Maret,Domestic,TEUs,6821.0,10039.0,-0.3205,DOMESTIC
2022,April,Domestic,TEUs,7126.0,8093.0,-0.1195,DOMESTIC
2022,Mei,Domestic,TEUs,6999.0,5224.0,0.3398,DOMESTIC
2022,Juni,Domestic,TEUs,7160.0,5220.0,0.3716,DOMESTIC
2022,Juli,Domestic,TEUs,5500.0,6216.0,-0.1152,DOMESTIC
2022,Agustus,Domestic,TEUs,6729.0,5654.0,0.1901,DOMESTIC
2022,September,Domestic,TEUs,4447.0,7430.0,-0.4015,DOMESTIC
2022,Oktober,Domestic,TEUs,3775.0,8240.0,-0.5419,DOMESTIC
2022,November,Domestic,TEUs,4991.0,7097.0,-0.2967,DOMESTIC
2022,Desember,Domestic,TEUs,115879.0,120678.0,-0.0398,DOMESTIC
2023,Januari,Domestic,TEUs,4717.0,7774.0,-0.3932,DOMESTIC
2023,Februari,Domestic,TEUs,4271.0,8315.0,-0.4863,DOMESTIC
2023,Maret,Domestic,TEUs,7490.0,9485.0,-0.2104,DOMESTIC
2023,April,Domestic,TEUs,4516.0,7649.0,-0.0202,DOMESTIC
2023,Mei,Domestic,TEUs,3642.0,4935.0,-0.262,DOMESTIC
2023,Juni,Domestic,TEUs,5484.0,4931.0,0.1121,DOMESTIC
2023,Juli,Domestic,TEUs,2464.0,5874.0,-0.5805,DOMESTIC
2023,Agustus,Domestic,TEUs,7731.0,5344.0,0.4467,DOMESTIC
2023,September,Domestic,TEUs,7655.0,7023.0,0.09,DOMESTIC
2023,Oktober,Domestic,TEUs,7281.0,7786.0,-0.0649,DOMESTIC
2023,November,Domestic,TEUs,8573.0,6707.0,-0.0058,DOMESTIC
2023,Desember,Domestic,TEUs,9890.0,7628.0,0.2965,DOMESTIC
2024,Januari,Domestic,TEUs,10116.0,5741.0,0.7621,DOMESTIC
2024,Februari,Domestic,TEUs,8028.0,5079.0,0.5806,DOMESTIC
2024,Maret,Domestic,TEUs,8647.0,5188.0,0.6667,DOMESTIC
2024,April,Domestic,TEUs,3.697,5.639,-0.3444,DOMESTIC
2024,Mei,Domestic,TEUs,4045.0,6054.0,-0.3318,DOMESTIC
2024,Juni,Domestic,TEUs,6804.0,6141.0,0.108,DOMESTIC
2024,Juli,Domestic,TEUs,5338.0,6228.0,-0.1429,DOMESTIC
2024,Agustus,Domestic,TEUs,5924.0,6316.0,-0.0621,DOMESTIC
2024,September,Domestic,TEUs,5882.0,6403.0,-0.0814,DOMESTIC
2024,Oktober,Domestic,TEUs,6256.0,6527.0,-0.0415,DOMESTIC
2024,November,Domestic,TEUs,5011.0,6614.0,-0.2424,DOMESTIC
2024,Desember,Domestic,TEUs,6283.0,6844.0,-0.0819696084161309,DOMESTIC
2025,Januari,Domestic,TEUs,5938.0,7196.0,-0.174819344080045,DOMESTIC
2025,Februari,Domestic,TEUs,7713.0,7133.0,0.0813122108509743,DOMESTIC
2025,Maret,Domestic,TEUs,5786.0,8847.0,-0.345992991974681,DOMESTIC
2025,April,Domestic,TEUs,3282.0,7197.0,-0.543976656940392,DOMESTIC
2025,Mei,Domestic,TEUs,5968.0,6578.0,-0.0927333536029188,DOMESTIC
2025,Juni,Domestic,TEUs,5652.0,7816.0,-0.276867963152508,DOMESTIC
2025,Juli,Domestic,TEUs,5909.0,4923.0,0.200284379443429,DOMESTIC
2025,Agustus,Domestic,TEUs,3850.0,8939.0,-0.56930305403289,DOMESTIC
2025,September,Domestic,TEUs,3785.0,7481.0,-0.494051597380029,DOMESTIC
2025,Oktober,Domestic,TEUs,5257.0,6835.0,-0.230870519385516,DOMESTIC
2025,November,Domestic,TEUs,5257.0,6835.0,-0.230870519385516,DOMESTIC
