date,year,month_code,month,lop,teus,boxes,bch,bsh,kategori_layanan
2023-01-01,2023,1,January,EMC,14609.0,14609.0,28.8,48.32,INTERNATIONAL
2023-01-02,2023,1,January,SSL,14466.0,14466.0,36.4,83.92,INTERNATIONAL
2023-01-03,2023,1,January,CNC,11401.0,11401.0,31.5,54.21,INTERNATIONAL
2023-01-04,2023,1,January,MSC,11061.0,11061.0,29.0,52.13,INTERNATIONAL
2023-01-05,2023,1,January,MSK,9145.0,9145.0,28.8,74.83,INTERNATIONAL
2023-01-06,2023,1,January,COS,8393.0,8393.0,32.7,68.11,INTERNATIONAL
2023-01-07,2023,1,January,WHL,7155.0,7155.0,26.5,42.46,INTERNATIONAL
2023-01-08,2023,1,January,PIL,5757.0,5757.0,31.0,57.22,INTERNATIONAL
2023-01-09,2023,1,January,RCL,3889.0,3889.0,23.9,42.06,INTERNATIONAL
2023-01-10,2023,1,January,SIT,3208.0,3208.0,24.0,30.29,INTERNATIONAL
2023-01-11,2023,1,January,CMA,3191.0,3191.0,26.9,63.15,INTERNATIONAL
2023-01-12,2023,1,January,YML,2132.0,2132.0,27.3,45.25,INTERNATIONAL
2023-01-13,2023,1,January,KMT,1305.0,1305.0,33.0,49.57,INTERNATIONAL
2023-01-14,2023,1,January,GSL,1210.0,1210.0,34.2,60.8,INTERNATIONAL
2023-01-15,2023,1,January,OOL,975.0,975.0,34.6,72.74,INTERNATIONAL
2023-01-15,2023,1,January,ONE,911.0,911.0,25.1,48.71,INTERNATIONAL
2023-02-01,2023,2,February,MSK,13960.0,13960.0,32.0,67.57,INTERNATIONAL
2023-02-02,2023,2,February,SSL,12920.0,12920.0,33.7,81.39,INTERNATIONAL
2023-02-03,2023,2,February,EMC,12126.0,12126.0,32.8,56.29,INTERNATIONAL
2023-02-04,2023,2,February,COS,10441.0,10441.0,31.0,64.34,INTERNATIONAL
2023-02-05,2023,2,February,CNC,10031.0,10031.0,28.8,45.8,INTERNATIONAL
2023-02-06,2023,2,February,MSC,8400.0,8400.0,29.1,45.78,INTERNATIONAL
2023-02-07,2023,2,February,WHL,7406.0,7406.0,24.4,39.45,INTERNATIONAL
2023-02-08,2023,2,February,RCL,6379.0,6379.0,23.0,44.07,INTERNATIONAL
2023-02-09,2023,2,February,OOL,2465.0,2465.0,27.3,51.77,INTERNATIONAL
2023-02-10,2023,2,February,KMT,2410.0,2410.0,23.6,38.54,INTERNATIONAL
2023-02-11,2023,2,February,CMA,2389.0,2389.0,36.1,77.54,INTERNATIONAL
2023-02-12,2023,2,February,SIT,2332.0,2332.0,23.1,24.6,INTERNATIONAL
2023-02-13,2023,2,February,PIL,1719.0,1719.0,30.1,39.33,INTERNATIONAL
2023-02-14,2023,2,February,YML,1247.0,1247.0,28.9,55.87,INTERNATIONAL
2023-02-15,2023,2,February,GSL,1232.0,1232.0,38.6,61.9,INTERNATIONAL
2023-02-16,2023,2,February,ONE,969.0,969.0,22.8,30.15,INTERNATIONAL
2023-03-01,2023,3,March,EMC,17470.0,17470.0,29.2,52.87,INTERNATIONAL
2023-03-02,2023,3,March,CNC,16398.0,16398.0,27.3,57.06,INTERNATIONAL
2023-03-03,2023,3,March,MSK,13743.0,13743.0,30.6,85.17,INTERNATIONAL
2023-03-04,2023,3,March,SSL,13537.0,13537.0,35.7,99.67,INTERNATIONAL
2023-03-05,2023,3,March,COS,13525.0,13525.0,36.8,79.46,INTERNATIONAL
2023-03-06,2023,3,March,WHL,10291.0,10291.0,28.6,51.73,INTERNATIONAL
2023-03-07,2023,3,March,MSC,10167.0,10167.0,29.6,55.89,INTERNATIONAL
2023-03-08,2023,3,March,CMA,3395.0,3395.0,23.9,49.68,INTERNATIONAL
2023-03-09,2023,3,March,SIT,2925.0,2925.0,20.1,29.07,INTERNATIONAL
2023-03-10,2023,3,March,GSL,2622.0,2622.0,27.9,48.6,INTERNATIONAL
2023-03-11,2023,3,March,KMT,2589.0,2589.0,23.6,33.62,INTERNATIONAL
2023-03-12,2023,3,March,RCL,2512.0,2512.0,22.0,45.95,INTERNATIONAL
2023-03-13,2023,3,March,YML,2365.0,2365.0,26.2,50.9,INTERNATIONAL
2023-03-14,2023,3,March,ONE,1490.0,1490.0,34.4,65.81,INTERNATIONAL
2023-03-15,2023,3,March,OOL,1457.0,1457.0,25.6,49.04,INTERNATIONAL
2023-03-16,2023,3,March,ANL,1086.0,1086.0,23.2,16.36,INTERNATIONAL
2023-03-17,2023,3,March,PIL,906.0,906.0,28.6,34.21,INTERNATIONAL
2023-03-18,2023,3,March,LMA,327.0,327.0,25.2,31.63,INTERNATIONAL
2023-04-01,2023,4,April,CNC,17947.0,17947.0,33.0,62.18,INTERNATIONAL
2023-04-02,2023,4,April,MSK,17456.0,17456.0,32.5,75.34,INTERNATIONAL
2023-04-03,2023,4,April,SSL,12378.0,12378.0,34.1,75.44,INTERNATIONAL
2023-04-04,2023,4,April,EMC,12310.0,12310.0,28.2,47.6,INTERNATIONAL
2023-04-05,2023,4,April,MSC,10377.0,10377.0,31.0,50.78,INTERNATIONAL
2023-04-06,2023,4,April,COS,9527.0,9527.0,33.4,73.41,INTERNATIONAL
