tanggal,year,month,lop,teus,persentase,sumber_sheet
01/2022,2022,1,CMA,12085,0.146418985732448,SL INT
01/2022,2022,1,EMC,12494,0.0813910741857216,SL INT
01/2022,2022,1,MSK,14065,-0.4222873900293255,SL INT
01/2022,2022,1,MSC,11120,-0.0340338478705597,SL INT
01/2022,2022,1,ONE,12015,-0.1343466767371601,SL INT
01/2022,2022,1,WHL,6221,0.1215758260378424,SL INT
01/2022,2022,1,COSCO,10768,-0.5480161012075906,SL INT
01/2022,2022,1,OOCL,5100,0.0436902306394149,SL INT
01/2022,2022,1,RCL,618,0.8179139658220389,SL INT
01/2022,2022,1,HAPAG,0,0.0,SL INT
01/2022,2022,1,SITC,4174,-0.2396792396792396,SL INT
01/2022,2022,1,KMTC,3316,-0.9785202863961814,SL INT
01/2022,2022,1,YML,2275,0.1296863045141545,SL INT
01/2022,2022,1,GSL,1186,0.2263535551206784,SL INT
01/2022,2022,1,OTHERS,2347,0.2756172839506173,SL INT
01/2022,2022,1,SSL,2157,-1.5678571428571428,SL INT
01/2022,2022,1,PIL,2262,-1.298780487804878,SL INT
01/2022,2022,1,ANL,0,0.0,SL INT
01/2022,2022,1,HMM,1559,-2.642523364485981,SL INT
01/2022,2022,1,XCL,1542,-6.748743718592965,SL INT
01/2022,2022,1,MELL,255,0.0,SL INT
01/2022,2022,1,BEN,0,0.0,SL INT
01/2022,2022,1,KRL,0,0.0,SL INT
2022-02-01 00:00:00,2022,2,KSL,0,0.0,SL INT
2022-02-02 00:00:00,2022,2,CMA,25419,0.0289567177293043,SL INT
2022-02-03 00:00:00,2022,2,EMC,26036,0.0122913505311077,SL INT
2022-02-04 00:00:00,2022,2,MSK,27297,-0.1724004638577503,SL INT
2022-02-05 00:00:00,2022,2,MSC,22751,-0.2030564221881444,SL INT
2022-02-06 00:00:00,2022,2,ONE,21359,-0.0728852722523608,SL INT
2022-02-07 00:00:00,2022,2,WHL,13712,0.0228746526045749,SL INT
2022-02-08 00:00:00,2022,2,COSCO,23893,-0.6796485061511424,SL INT
2022-02-09 00:00:00,2022,2,OOCL,9161,0.1717747039146551,SL INT
2022-02-10 00:00:00,2022,2,RCL,1061,0.8441539365452408,SL INT
2022-02-11 00:00:00,2022,2,HAPAG,0,0.0,SL INT
2022-02-12 00:00:00,2022,2,SITC,7321,-0.2331143675256863,SL INT
2022-02-13 00:00:00,2022,2,KMTC,5047,-0.4800586510263929,SL INT
2022-02-14 00:00:00,2022,2,YML,4176,0.2141512984569062,SL INT
2022-02-15 00:00:00,2022,2,GSL,2395,0.2585139318885449,SL INT
2022-02-16 00:00:00,2022,2,OTHERS,4257,0.3212691326530612,SL INT
2022-02-17 00:00:00,2022,2,SSL,3774,-1.2160892542571933,SL INT
2022-02-18 00:00:00,2022,2,PIL,4322,-0.7662443808745403,SL INT
2022-02-19 00:00:00,2022,2,ANL,0,1.0,SL INT
2022-02-20 00:00:00,2022,2,HMM,3142,-2.566401816118048,SL INT
2022-02-21 00:00:00,2022,2,XCL,2448,-4.44,SL INT
2022-02-22 00:00:00,2022,2,MELL,261,-2.2625,SL INT
2022-02-23 00:00:00,2022,2,BEN,0,0.0,SL INT
2022-02-24 00:00:00,2022,2,KRL,206,-1.9428571428571428,SL INT
2022-02-25 00:00:00,2022,2,KSL,0,0.0,SL INT
2022-03-01 00:00:00,2022,3,CMA,34294,0.1940873733931802,SL INT
2022-03-02 00:00:00,2022,3,EMC,38881,0.1138839509549204,SL INT
2022-03-03 00:00:00,2022,3,MSK,41446,-0.1401925722145804,SL INT
2022-03-04 00:00:00,2022,3,MSC,32928,-0.1105564924114671,SL INT
