Nama Sheet,Nama Kolom,Tipe Data
SL INT,TANGGAL,object
SL INT,YEAR,int64
SL INT,MONTH,int64
SL INT,LOP,object
SL INT,TEUS,int64
SL INT,%,float64
BOX. OPR PIVOT,TAHUN,datetime64[ns]
BOX. OPR PIVOT,MONTH,int64
BOX. OPR PIVOT,DESCRIPTION,object
BOX. OPR PIVOT,UNIT,object
BOX. OPR PIVOT,2022 ACTUAL,int64
BOX. OPR PIVOT,2022 BUDGET,int64
BOX. OPR PIVOT,2022 ACTUAL VS 2022 BUDGET,float64
BOX. OPR PIVOT,2023 ACTUAL,int64
BOX. OPR PIVOT,2023 BUDGET,int64
BOX. OPR PIVOT,2023 ACTUAL VS 2023 BUDGET,float64
BOX. OPR PIVOT,2024 ACTUAL ,float64
BOX. OPR PIVOT,2024 BUDGET,float64
BOX. OPR PIVOT,2024 ACTUAL VS 2024 ACTUAL BUDGET,float64
BOX. OPR PIVOT,2025 ACTUAL,int64
BOX. OPR PIVOT,2025 BUDGET,int64
BOX. OPR PIVOT,2025 ACTUAL VS 2025 BUDGET,float64
BOX. OPR PIVOT,2026 ACTUAL,float64
BOX. OPR PIVOT,2026 BUDGET,float64
BOX. OPR PIVOT,2026 ACTUAL VS 2026 BUDGET,float64
CONT THROUGHPUT,DATE,object
CONT THROUGHPUT,YEAR,int64
CONT THROUGHPUT,MONTH,int64
CONT THROUGHPUT,TEUS,float64
CONT THROUGHPUT,CATEGORY,object
C.THR. DOM,DATE,object
C.THR. DOM,YEAR,int64
C.THR. DOM,MONTH,int64
C.THR. DOM,TEUS,float64
C.THR. DOM,Unnamed: 4,object
V.OPR INT,DATE,object
V.OPR INT,YEAR,int64
V.OPR INT,MONTH,int64
V.OPR INT,LOP,object
V.OPR INT,TEUS ,object
V.OPR INT,BOX,object
V.OPR INT,DPP,object
V.OPR INT,BCH,object
V.OPR INT,BSH,object
V.OPR INT,AVERAGE CD,object
V.OPR INT,TEUS 2023,float64
V.OPR INT,BOX 2023,float64
V.OPR INT,DPP 2023,object
V.OPR INT,BCH 2023,float64
V.OPR INT,BSH 2023,float64
V.OPR INT,AVERAGE CD 2023,float64
V.OPR DOM,DATE,datetime64[ns]
V.OPR DOM,YEAR,int64
V.OPR DOM,MONTH,int64
V.OPR DOM,LOP,object
V.OPR DOM,TEUS,object
V.OPR DOM,BOX,object
V.OPR DOM,DPP,object
V.OPR DOM,BCH,object
V.OPR DOM,BSH,object
V.OPR DOM,AVERAGE CD,object
V.OPR DOM,TEUS 2023,float64
V.OPR DOM,BOX 2023,float64
V.OPR DOM,DPP 2023,object
V.OPR DOM,BCH 2023,float64
V.OPR DOM,BSH 2023,float64
V.OPR DOM,AVERAGE CD 2023,float64
B.OPR INT,DATE,datetime64[ns]
B.OPR INT,YEAR,int64
B.OPR INT,MONTH,int64
B.OPR INT,LOP,object
B.OPR INT,2022 (TEUS),object
B.OPR INT,2023 (TEUS),float64
B.OPR INT,2024 (TEUS),float64
B.OPR INT,2025 (TEUS),float64
B.OPR INT,2026 (TEUS),object
B.OPR INT,%,object
B.OPR DOM,DATE,datetime64[ns]
B.OPR DOM,YEAR,int64
B.OPR DOM,MONTH,int64
B.OPR DOM,LOP,object
B.OPR DOM,2022 (TEUS),object
B.OPR DOM,2023 (TEUS),object
B.OPR DOM,2024 (TEUS),float64
B.OPR DOM,2025 (TEUS),float64
B.OPR DOM,2026 (TEUS),float64
B.OPR DOM,%,float64
TOP SERVICES,No.,float64
TOP SERVICES,DATE,object
TOP SERVICES,YEAR,int64
TOP SERVICES,MONTH,int64
TOP SERVICES,VESSEL OPERATOR,object
TOP SERVICES,SERVICE,object
TOP SERVICES,ROUTES,object
TOP SERVICES,CITY PORT,object
TOP SERVICES,Service Mode,object
TOP SERVICES,Total Call,object
TOP SERVICES,BMPH,object
TOP SERVICES,GMPH,object
TOP SERVICES,Average CD,object
TOP SERVICES,Boxes*,object
TOP SERVICES,TEUs,object
TOP SERVICES,ON,float64
TOP SERVICES,Moves,object
TOP SERVICES,TEUS,object
TOP SERVICES,STATUS,object
SL DOM,TANGGAL,object
SL DOM,YEAR,int64
SL DOM,MONTH,int64
SL DOM,LOP,object
SL DOM,TEUS,int64
Sheet12,YEAR,int64
Sheet12,MONTH,int64
Sheet12,VESSEL OPERATOR,object
Sheet12,SERVICE,object
Sheet12,ROUTES,object
Sheet12,SERVICE MODE,object
Sheet12,TOTAL CALL,object
Sheet12,BMPH,object
Sheet12,GMPH,object
Sheet12,AVERAGE CD*,object
Sheet12,BOXES*,object
Sheet12,TEUs,object
Sheet12,ON,float64
Sheet12,MOVES,object
Sheet12,TEUS,object
Sheet12,STATUS,object
Sheet12,Unnamed: 16,object
BAR INT,DATE,object
BAR INT,YEAR,int64
BAR INT,MONTH,int64
BAR INT,LOP,object
BAR INT,TEUS ,object
BAR INT,BOX,object
BAR INT,DPP,float64
BAR INT,BCH,object
BAR INT,BSH,object
BAR DOM,DATE,datetime64[ns]
BAR DOM,YEAR,int64
BAR DOM,MONTH,int64
BAR DOM,LOP,object
BAR DOM,TEUS ,object
BAR DOM,BOX,object
BAR DOM,DPP,object
BAR DOM,BCH,object
BAR DOM,BSH,object
