DATE,YEAR,MONTH,LOP,2022 (TEUS),2023 (TEUS),2024 (TEUS),2025 (TEUS),2026 (TEUS),persentase
2024-01-01,2024,1,TANTO,3232,3547,4338.0,,,0.0817
2024-01-01,2024,1,SPIL,2438,477,5558.0,,,-0.7752
2024-01-01,2024,1,MERATUS,0,172,191.0,,,0.0
2024-01-01,2024,1,TEMAS,0,0,0.0,,,0.0
2024-01-01,2024,1,ICON,2543,0,0.0,,,-1.0
2024-02-01,2024,2,TANTO,4185,4081,4051.0,,,0.573
2024-02-01,2024,2,SPIL,4171,180,3601.0,,,-0.8255
2024-02-01,2024,2,MERATUS,0,225,0.0,,,0.0
2024-02-01,2024,2,TEMAS,6077,0,0.0,,,-1.0
2024-02-01,2024,2,ICON,0,0,0.0,,,0.0
2024-03-01,2024,3,TANTO,3549,5452,5594.0,,,1.3435
2024-03-01,2024,3,SPIL,5684,859,2383.0,,,-0.7097
2024-03-01,2024,3,MERATUS,0,140,0.0,,,0.0
2024-03-01,2024,3,ICON,9318,0,399.0,,,-1.0
2024-03-01,2024,3,TEMAS,0,0,0.0,,,0.0
2024-04-01,2024,4,TANTO,8966,4115,2879.0,,,0.0539
2024-04-01,2024,4,SPIL,7940,0,636.0,,,-0.7922
2024-04-01,2024,4,MERATUS,63,33,294.0,,,10.3492
2024-04-01,2024,4,ICON,11611,0,198.0,,,-1.0
2024-04-01,2024,4,TEMAS,0,220,0.0,,,0.0
2024-05-01,2024,5,TANTO,12171,2915,1622.0,,,0.7423
2024-05-01,2024,5,SPIL,8871,0,1861.0,,,-0.814
2024-05-01,2024,5,MERATUS,63,15,299.0,,,10.5873
2024-05-01,2024,5,ICON,13949,0,0.0,,,-1.0
2024-05-01,2024,5,TEMAS,0,510,0.0,,,0.0
2024-06-01,2024,6,TANTO,15610,2823,3982.0,,,0.5393
2024-06-01,2024,6,SPIL,10417,2128,2582.0,,,-0.6373
2024-06-01,2024,6,MERATUS,63,128,136.0,,,12.619
2024-06-01,2024,6,ICON,16437,0,0.0,,,-1.0
2024-06-01,2024,6,TEMAS,0,127,0.0,,,0.0
2024-07-01,2024,7,TANTO,17213,677,3226.0,,,0.4353
2024-07-01,2024,7,SPIL,11331,1097,1403.0,,,-0.5698
2024-07-01,2024,7,MERATUS,67,628,494.0,,,21.1791
2024-07-01,2024,7,TEMAS,0,53,241.0,,,0.0
2024-07-01,2024,7,ICON,18934,0,0.0,,,-0.9913
2024-08-01,2024,8,TANTO,20568,3474,4555.0,,,0.37
2024-08-01,2024,8,SPIL,11331,2640,803.0,,,-0.3368
2024-08-01,2024,8,MERATUS,69,527,0.0,,,28.1739
2024-08-01,2024,8,TEMAS,0,121,0.0,,,0.0
2024-08-01,2024,8,ICON,22059,0,0.0,,,-0.9535
2024-08-01,2024,8,PPNP,0,0,2.0,,,0.6666666666666666
2024-09-01,2024,9,TANTO,23194,2846,4555.0,,,0.3376
2024-09-01,2024,9,SPI,11331,3848,803.0,,,0.0028
2024-09-01,2024,9,ICON,25421,0,0.0,,,-0.9171
2024-09-01,2024,9,MERATUS,73,7,0.0,,,26.6712
2024-09-01,2024,9,TEMAS,0,0,0.0,,,0.0
2024-09-01,2024,9,PPNP,0,0,2.0,,,0.0
2024-10-01,2024,10,TANTO,25077,2020,4755.0,,,0.3177
2024-10-01,2024,10,SPI,11331,4782,1063.0,,,0.4249
2024-10-01,2024,10,MERATUS,303,109,525.0,,,6.0264
2024-10-01,2024,10,ICON,25429,0,152.0,,,-0.9171
2024-10-01,2024,10,TEMAS,0,294,0.0,,,0.0
2024-11-01,2024,11,TANTO,27779,3149,2558.0,,,0.3029
2024-11-01,2024,11,SPI,13281,4864,728.0,,,0.5819
2024-11-01,2024,11,MERATUS,716,1033,118.0,,,3.4162
2024-11-01,2024,11,TEMAS,0,1118,0.0,,,0.0
2024-11-01,2024,11,ICON,25430,0,0.0,,,-0.9171
2024-11-01,2024,11,SSL,0,0,1177.0,,,0.0
2024-12-01,2024,12,TANTO,30767,3053,4316.0,,,0.2756
2024-12-01,2024,12,SPI,14327,5383,1080.0,,,0.8421
