DATE,YEAR,MONTH,TEUS,CATEGORY
2022-01-01 00:00:00,2022,1,95784.0,INTERNATIONAL
2022-02-01 00:00:00,2022,2,116266.75,INTERNATIONAL
2022-03-01 00:00:00,2022,3,99208.75,INTERNATIONAL
2022-04-01 00:00:00,2022,4,105519.0,INTERNATIONAL
2022-05-01 00:00:00,2022,5,99338.25,INTERNATIONAL
2022-06-01 00:00:00,2022,6,109829.0,INTERNATIONAL
2022-07-01 00:00:00,2022,7,106382.5,INTERNATIONAL
2022-08-01 00:00:00,2022,8,125414.25,INTERNATIONAL
2022-09-01 00:00:00,2022,9,97950.5,INTERNATIONAL
2022-10-01 00:00:00,2022,10,113761.75,INTERNATIONAL
2022-11-01 00:00:00,2022,11,108161.25,INTERNATIONAL
2022-12-01 00:00:00,2022,12,115879.0,INTERNATIONAL
2023-01-01 00:00:00,2023,1,98611.25,INTERNATIONAL
2023-02-01 00:00:00,2023,2,96819.0,INTERNATIONAL
2023-03-01 00:00:00,2023,3,116230.0,INTERNATIONAL
2023-04-01 00:00:00,2023,4,102221.5,INTERNATIONAL
2023-05-01 00:00:00,2023,5,121560.75,INTERNATIONAL
2023-06-01 00:00:00,2023,6,109327.75,INTERNATIONAL
2023-07-01 00:00:00,2023,7,130099.5,INTERNATIONAL
2023-08-01 00:00:00,2023,8,115017.0,INTERNATIONAL
2023-09-01 00:00:00,2023,9,119729.75,INTERNATIONAL
2023-10-01 00:00:00,2023,10,128719.5,INTERNATIONAL
2023-11-01 00:00:00,2023,11,112829.0,INTERNATIONAL
2023-12-01 00:00:00,2023,12,124762.0,INTERNATIONAL
2024-01-01 00:00:00,2024,1,119547.0,INTERNATIONAL
2024-02-01 00:00:00,2024,2,115250.0,INTERNATIONAL
03/2024,2024,3,125120.0,INTERNATIONAL
04/2024,2024,4,101590.0,INTERNATIONAL
