DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH,AVERAGE CD,TEUS 2023,BOX 2023,DPP 2023,BCH 2023,BSH 2023,AVERAGE CD 2023
2023-01-01 00:00:00,2023,1,EMC,14609.0,9643,16341982320,28.8,48.32,0,14609.0,9643.0,Rp. 16.341.982.320,29.0,48.0,0.0
2023-01-02 00:00:00,2023,1,SSL,14466.0,9926,16655410181,36.4,83.92,8,14592.0,9622.0,16571826414,29.0,59.0,8.0
2023-01-03 00:00:00,2023,1,CNC,11401.0,7403,12972661683,31.5,54.21,2,14466.0,9926.0,Rp. 16.655.410.181,36.0,84.0,2.0
2023-01-04 00:00:00,2023,1,MSC,11061.0,7657,13168083042,29,52.13,4,11061.0,7657.0,Rp. 13.168.083.042,29.0,52.0,4.0
2023-01-05 00:00:00,2023,1,MSK,9145.0,5700,10435664983,28.8,74.83,3,9145.0,5700.0,Rp. 10.435.664.983,29.0,75.0,3.0
2023-01-06 00:00:00,2023,1,COS,8393.0,5678,9725904427,32.7,68.11,4,8393.0,5678.0,Rp. 9.725.904.427,33.0,68.0,4.0
2023-01-07 00:00:00,2023,1,WHL,7155.0,4721,8407390538,26.5,42.46,4,7155.0,4721.0,Rp. 8.407.390.538,26.0,42.0,4.0
2023-01-08 00:00:00,2023,1,PIL,5757.0,3893,6714230932,31,57.22,2,5757.0,3893.0,Rp. 6.714.230.932,31.0,57.0,2.0
2023-01-09 00:00:00,2023,1,RCL,3889.0,2691,4541270822,23.9,42.06,2,3889.0,2691.0,Rp. 4.541.270.822,24.0,42.0,2.0
2023-01-10 00:00:00,2023,1,SIT,3208.0,2210,3936766752,24,30.29,3,3208.0,2210.0,Rp. 3.936.766.752,24.0,30.0,3.0
2023-01-11 00:00:00,2023,1,CMA,3191.0,2219,3599164731,26.9,63.15,2,2132.0,1400.0,Rp. 2.349.174.700,27.0,45.0,2.0
2023-01-12 00:00:00,2023,1,YML,2132.0,1400,2349174700,27.3,45.25,2,1305.0,909.0,Rp. 1.552.933.479,33.0,50.0,2.0
2023-01-13 00:00:00,2023,1,KMT,1305.0,909,1552933479,33,49.57,0,1210.0,802.0,Rp. 1.326.466.739,34.0,61.0,0.0
2023-01-14 00:00:00,2023,1,GSL,1210.0,802,1326466739,34.2,60.8,3,975.0,690.0,Rp. 1.125.059.378,35.0,73.0,3.0
2023-01-15 00:00:00,2023,1,OOL,975.0,690,1125059378,34.6,72.74,2,911.0,643.0,Rp. 1.087.991.525,25.0,49.0,2.0
2023-01-15 00:00:00,2023,1,ONE,911.0,643,1087991525,25.1,48.71,,,,,,,
2023-02-01 00:00:00,2023,2,MSK,13960.0,8933,15836582394,32,67.57,3,27386.0,18296.0,31112551732,35.0,83.0,3.0
2023-02-02 00:00:00,2023,2,SSL,12920.0,8370,14457141551,33.7,81.39,7,27012.0,17854.0,30458217308,31.0,60.0,7.0
2023-02-03 00:00:00,2023,2,EMC,12126.0,8386,13294331286,32.8,56.29,10,26735.0,18029.0,29636313605,31.0,52.0,10.0
2023-02-04 00:00:00,2023,2,COS,10441.0,6975,11775696904,31,64.34,2,23105.0,14633.0,26272247377,30.0,71.0,2.0
2023-02-05 00:00:00,2023,2,CNC,10031.0,6554,11236123104,28.8,45.8,4,19461.0,13607.0,23177294547,29.0,49.0,4.0
2023-02-06 00:00:00,2023,2,MSC,8400.0,5950,10009211505,29.1,45.78,4,18834.0,12653.0,21501601331,32.0,66.0,4.0
2023-02-07 00:00:00,2023,2,WHL,7406.0,4639,8221317255,24.4,39.45,3,14561.0,9360.0,16628707793,25.0,41.0,3.0
2023-02-08 00:00:00,2023,2,RCL,6379.0,4462,7159027892,23,44.07,2,10268.0,7153.0,11700298714,23.0,43.0,2.0
2023-02-09 00:00:00,2023,2,OOL,2465.0,1627,2745250265,27.3,51.77,2,7476.0,5187.0,8721350865,31.0,48.0,2.0
2023-02-10 00:00:00,2023,2,KMT,2410.0,1778,2897676897,23.6,38.54,3,5540.0,3866.0,6761959104,24.0,27.0,3.0
2023-02-11 00:00:00,2023,2,CMA,2389.0,1678,2650267790,36.1,77.54,2,3715.0,2687.0,4450610376,28.0,44.0,2.0
2023-02-12 00:00:00,2023,2,SIT,2332.0,1656,2825192352,23.1,24.6,2,3440.0,2317.0,3870309643,31.0,62.0,2.0
2023-02-13 00:00:00,2023,2,PIL,1719.0,1294,2007119933,30.1,39.33,2,3379.0,2213.0,3674340866,28.0,51.0,2.0
2023-02-14 00:00:00,2023,2,YML,1247.0,813,1325166166,28.9,55.87,2,2442.0,1682.0,2696678550,36.0,61.0,2.0
2023-02-15 00:00:00,2023,2,GSL,1232.0,880,1370211811,38.6,61.9,1,1880.0,1268.0,2233873084,24.0,39.0,1.0
2023-02-16 00:00:00,2023,2,ONE,969.0,625,1145881559,22.8,30.15,2,375.0,234.0,507911226,19.0,10.0,2.0
2023-03-01 00:00:00,2023,3,EMC,17470.0,11339,19012500455,29.2,52.87,10,46805.0,31037.0,53117404547,29.0,58.0,10.0
2023-03-02 00:00:00,2023,3,CNC,16398.0,10695,18888831629,27.3,57.06,8,44205.0,29368.0,48648814060,30.0,52.0,8.0
2023-03-03 00:00:00,2023,3,MSK,13743.0,8526,15462667861,30.6,85.17,3,40923.0,23608.0,46348126297,35.0,88.0,3.0
2023-03-04 00:00:00,2023,3,SSL,13537.0,5312,15235574565,35.7,99.67,3,36848.0,23159.0,41734915238,30.0,76.0,3.0
2023-03-05 00:00:00,2023,3,COS,13525.0,9155,15652539542,36.8,79.46,4,32359.0,21808.0,37154140874,34.0,71.0,4.0
